id,ACTION
1,0.993008
2,0.974176
3,0.999980
4,0.999962
5,0.999965
6,0.999974
7,0.962650
8,1.000000
9,0.963362
10,0.988149
11,0.992810
12,0.999274
13,0.998957
14,0.940027
15,0.985924
16,0.954987
17,0.368289
18,0.777377
19,0.999946
20,0.999362
21,0.999945
22,0.999906
23,0.998896
24,0.998645
25,0.999896
26,0.982072
27,0.999988
28,0.999764
29,0.994378
30,0.828693
31,0.999852
32,0.995997
33,0.999752
34,0.999592
35,0.999385
36,0.999253
37,0.999649
38,0.999999
39,0.999621
40,0.974637
41,0.978191
42,0.999933
43,0.996716
44,0.998824
45,0.999823
46,0.999322
47,0.999994
48,0.999712
49,1.000000
50,0.999998
51,0.999006
52,0.999564
53,0.997605
54,0.999968
55,0.998215
56,0.999665
57,0.997664
58,0.999990
59,0.999197
60,0.998735
61,0.999902
62,0.999879
63,0.998701
64,0.999948
65,0.999870
66,0.999727
67,0.999931
68,0.999981
69,0.999166
70,0.478923
71,0.998355
72,0.998160
73,0.999925
74,0.999952
75,0.998894
76,0.999995
77,0.999925
78,0.997638
79,0.829683
80,0.999979
81,0.999999
82,0.999931
83,0.979675
84,0.999856
85,0.999726
86,0.986550
87,0.997050
88,0.999875
89,0.999659
90,0.580560
91,0.999060
92,0.916902
93,0.999974
94,0.998832
95,0.998451
96,0.999995
97,0.253949
98,0.999972
99,0.999622
100,0.999958
101,0.998021
102,0.239654
103,0.999932
104,0.998719
105,0.084615
106,0.999835
107,0.999971
108,0.995964
109,0.998757
110,0.996469
111,0.902899
112,0.995242
113,0.999596
114,1.000000
115,0.990621
116,0.993133
117,0.999727
118,0.981054
119,0.999960
120,0.989106
121,0.970571
122,0.997864
123,0.971089
124,0.999911
125,0.998328
126,0.892977
127,0.963809
128,0.987689
129,0.980240
130,0.999971
131,0.999896
132,0.999986
133,0.999329
134,0.958668
135,0.999980
136,0.993306
137,0.999933
138,0.932667
139,0.998798
140,0.999998
141,0.999873
142,0.998849
143,0.999664
144,0.999225
145,1.000000
146,0.699179
147,0.467500
148,0.847361
149,0.999970
150,0.997676
151,0.999988
152,0.782792
153,0.999484
154,0.985851
155,0.995766
156,0.993644
157,0.999249
158,0.999696
159,0.892595
160,0.999315
161,0.991168
162,0.999742
163,0.999960
164,0.998056
165,0.999680
166,0.999999
167,0.998610
168,0.999412
169,0.998754
170,0.999739
171,0.999976
172,0.999759
173,0.929294
174,0.999915
175,0.998351
176,0.999995
177,0.992552
178,0.999851
179,0.999997
180,0.990127
181,0.905012
182,0.999385
183,0.953947
184,0.954961
185,0.997788
186,0.998774
187,0.999989
188,0.996659
189,0.201267
190,0.999739
191,0.999999
192,0.999973
193,0.999918
194,0.999475
195,0.986927
196,0.999981
197,0.997878
198,0.997455
199,0.999580
200,0.984855
201,0.999973
202,0.996087
203,0.956439
204,0.999910
205,0.999998
206,0.999309
207,0.999626
208,0.998643
209,0.608319
210,0.176504
211,0.971188
212,0.999014
213,0.999956
214,0.999445
215,0.999642
216,0.914861
217,0.967692
218,0.999078
219,0.999923
220,0.996226
221,0.163469
222,0.999981
223,1.000000
224,0.999863
225,0.963701
226,0.937707
227,0.997130
228,0.999447
229,0.999962
230,0.999610
231,0.997380
232,0.992743
233,0.997621
234,0.005163
235,0.826833
236,0.984830
237,0.992868
238,0.999308
239,0.812301
240,0.999978
241,0.996598
242,0.337269
243,0.519772
244,0.999472
245,0.997879
246,0.999960
247,0.998573
248,0.997682
249,0.997967
250,0.999891
251,0.999663
252,0.997386
253,0.999856
254,0.999991
255,0.999977
256,0.995847
257,0.999079
258,0.994127
259,0.999975
260,0.999940
261,0.999894
262,0.993407
263,0.999845
264,0.999962
265,0.999996
266,0.999464
267,0.998320
268,0.999875
269,0.997048
270,0.999879
271,0.999516
272,0.996568
273,0.999842
274,0.585459
275,0.999948
276,0.997167
277,0.999881
278,0.999972
279,0.998919
280,0.991367
281,0.999970
282,0.999995
283,0.998520
284,0.991834
285,0.999987
286,0.997474
287,0.999979
288,0.999845
289,0.999797
290,0.999877
291,0.419568
292,0.926610
293,0.998886
294,0.999607
295,0.999934
296,0.536849
297,0.770200
298,0.997203
299,0.976888
300,0.999912
301,0.933545
302,0.999970
303,0.380824
304,0.973173
305,0.999931
306,0.999759
307,0.997363
308,0.999981
309,0.996828
310,0.995759
311,0.999992
312,0.999942
313,0.999908
314,0.999989
315,0.999989
316,0.999906
317,0.991908
318,0.999779
319,0.747634
320,0.999989
321,0.999694
322,0.480597
323,0.999999
324,0.999878
325,0.999128
326,0.997345
327,0.999895
328,0.999981
329,0.999920
330,0.999706
331,0.999904
332,0.997924
333,0.999894
334,0.988640
335,0.999164
336,0.998761
337,0.997761
338,0.999199
339,0.999753
340,0.999527
341,0.999966
342,0.997256
343,0.995940
344,1.000000
345,0.999818
346,0.999985
347,0.999968
348,0.994914
349,0.999829
350,0.993098
351,0.995616
352,0.999994
353,0.999556
354,0.988052
355,0.994649
356,0.999912
357,0.999841
358,0.999986
359,0.992289
360,0.069399
361,0.974952
362,0.983846
363,0.989105
364,0.996930
365,0.999989
366,0.999996
367,0.998932
368,0.999996
369,0.998717
370,0.999991
371,0.989513
372,0.999680
373,0.816004
374,0.173196
375,0.991492
376,0.999656
377,0.907721
378,0.999692
379,0.999798
380,0.966933
381,0.820836
382,0.998923
383,0.999977
384,0.999991
385,0.999865
386,0.998363
387,0.240169
388,0.991034
389,0.999364
390,0.998874
391,0.998449
392,0.999521
393,0.992545
394,0.998184
395,0.997551
396,0.976969
397,1.000000
398,0.997255
399,0.999884
400,0.999940
401,0.999524
402,0.998784
403,0.998223
404,0.980000
405,0.999987
406,0.999670
407,0.949637
408,0.999693
409,0.985266
410,0.999987
411,0.999608
412,0.948380
413,0.957325
414,0.999969
415,0.998154
416,0.973027
417,0.998889
418,0.999721
419,0.999312
420,0.999514
421,0.999991
422,0.997873
423,0.983254
424,0.881841
425,0.999641
426,0.997388
427,0.999913
428,0.999463
429,0.996609
430,0.999992
431,0.997908
432,0.998980
433,0.997614
434,0.998867
435,0.999805
436,0.999976
437,0.999967
438,0.032889
439,0.996972
440,0.641195
441,0.999973
442,0.999999
443,0.999816
444,0.999950
445,0.998781
446,0.999977
447,0.976723
448,0.999792
449,0.998919
450,0.998151
451,0.988051
452,0.999848
453,0.999999
454,0.993185
455,0.999745
456,0.999584
457,0.999981
458,0.999969
459,0.999832
460,0.564152
461,0.985758
462,0.999936
463,0.999941
464,0.999138
465,0.995035
466,0.999908
467,0.374466
468,0.999948
469,0.999904
470,0.999889
471,0.999810
472,0.999817
473,0.999919
474,0.999970
475,0.990399
476,0.999951
477,0.999143
478,0.998959
479,0.999651
480,0.999978
481,0.999999
482,0.998729
483,0.999950
484,0.990389
485,0.997126
486,0.871608
487,0.999245
488,0.999887
489,0.999187
490,0.996926
491,0.999561
492,0.999190
493,0.996548
494,0.999614
495,0.999461
496,0.999285
497,0.999971
498,0.999993
499,0.999914
500,0.989195
501,0.995559
502,0.973251
503,0.992999
504,0.997666
505,0.997106
506,0.999897
507,0.999997
508,0.996954
509,0.997097
510,0.495966
511,0.990607
512,0.996819
513,0.999971
514,0.806802
515,0.999677
516,0.998145
517,0.999987
518,0.792503
519,0.994247
520,0.984875
521,0.999975
522,0.999949
523,0.999887
524,0.043575
525,0.216358
526,0.373105
527,0.999747
528,0.998982
529,0.995458
530,0.999990
531,0.916014
532,0.998337
533,0.999691
534,0.998662
535,0.999646
536,0.999132
537,0.999995
538,0.998604
539,0.999239
540,0.838277
541,0.999838
542,0.995128
543,0.898474
544,0.993602
545,0.999564
546,0.999149
547,0.983011
548,0.882827
549,0.906494
550,0.887648
551,0.969175
552,0.969640
553,0.999873
554,0.960440
555,0.999984
556,0.997629
557,0.997816
558,0.961523
559,0.994710
560,0.999848
561,0.999956
562,0.999538
563,0.999594
564,0.861184
565,0.999999
566,0.997966
567,0.984366
568,0.913849
569,0.999450
570,0.999165
571,0.395828
572,0.999971
573,0.991890
574,0.148423
575,0.999959
576,0.999316
577,0.998597
578,0.999717
579,0.679812
580,0.996307
581,0.998370
582,0.999337
583,0.999965
584,0.666450
585,0.999651
586,0.965882
587,0.962645
588,0.999379
589,0.999994
590,0.951471
591,0.999287
592,0.999989
593,0.987300
594,0.996753
595,0.999987
596,0.999620
597,0.999489
598,0.944214
599,0.996458
600,0.986191
601,0.999294
602,0.992557
603,0.999993
604,0.999704
605,0.987630
606,0.999889
607,0.999308
608,0.999939
609,0.998423
610,0.862683
611,0.997735
612,0.998390
613,0.998995
614,0.687604
615,0.999995
616,0.677056
617,0.997835
618,0.999995
619,0.996159
620,0.999946
621,0.999978
622,0.993095
623,0.998616
624,0.948881
625,0.802079
626,0.999605
627,0.999420
628,0.986268
629,0.999307
630,0.999979
631,0.999962
632,0.989159
633,0.999967
634,0.999965
635,0.987703
636,0.999411
637,0.992187
638,0.999637
639,0.994054
640,0.998372
641,0.999958
642,0.998808
643,0.990096
644,0.998643
645,0.999982
646,0.798444
647,0.999903
648,0.993401
649,0.999971
650,0.964659
651,0.999977
652,0.999971
653,0.194766
654,0.993960
655,0.961773
656,0.999663
657,0.999351
658,0.999815
659,0.999461
660,0.985676
661,0.992911
662,0.999978
663,0.999726
664,0.999057
665,0.999149
666,0.621237
667,0.997043
668,0.999333
669,0.993675
670,0.242433
671,0.999572
672,0.996216
673,0.872686
674,0.987422
675,0.989837
676,0.999751
677,0.991653
678,0.999972
679,0.999946
680,0.999445
681,0.234199
682,0.988677
683,0.999922
684,0.998602
685,0.987999
686,0.998953
687,0.997989
688,0.999914
689,0.999845
690,0.999991
691,0.999984
692,0.999990
693,0.989646
694,0.999989
695,0.996950
696,0.975461
697,0.999975
698,0.998946
699,0.999983
700,0.999812
701,0.994590
702,0.999906
703,0.989564
704,0.996719
705,0.834118
706,0.887887
707,0.811624
708,0.999855
709,0.992832
710,0.999507
711,0.557597
712,0.894633
713,0.999767
714,0.999986
715,0.997076
716,0.905301
717,0.999052
718,0.984054
719,0.999671
720,0.999564
721,0.997885
