id,Action
1,0.464708
2,0.717356
3,0.749696
4,0.723042
5,0.754135
6,0.704373
7,0.721487
8,0.790485
9,0.534921
10,0.720900
11,0.687526
12,0.694407
13,0.730701
14,0.648916
15,0.588418
16,0.636127
17,0.560829
18,0.707119
19,0.728960
20,0.743849
21,0.791067
22,0.784195
23,0.704608
24,0.722013
25,0.737897
26,0.597469
27,0.696599
28,0.656318
29,0.720142
30,0.647313
31,0.755072
32,0.717381
33,0.733327
34,0.751970
35,0.762547
36,0.717420
37,0.700707
38,0.781760
39,0.705229
40,0.649219
41,0.674561
42,0.740867
43,0.721906
44,0.755036
45,0.731401
46,0.740088
47,0.738792
48,0.725916
49,0.803360
50,0.702287
51,0.637639
52,0.755830
53,0.724213
54,0.721420
55,0.702054
56,0.746365
57,0.666357
58,0.760443
59,0.722830
60,0.710437
61,0.738182
62,0.761781
63,0.700857
64,0.735192
65,0.789874
66,0.731212
67,0.699803
68,0.748697
69,0.609900
70,0.453072
71,0.721792
72,0.718480
73,0.730104
74,0.771507
75,0.721387
76,0.726358
77,0.753161
78,0.689860
79,0.390725
80,0.777712
81,0.728187
82,0.760067
83,0.707321
84,0.729004
85,0.724010
86,0.721251
87,0.714968
88,0.744728
89,0.750116
90,0.550211
91,0.701223
92,0.584805
93,0.744563
94,0.706917
95,0.749499
96,0.734233
97,0.303435
98,0.708829
99,0.712873
100,0.761478
101,0.679135
102,0.479970
103,0.706371
104,0.696792
105,0.365434
106,0.737282
107,0.750806
108,0.708801
109,0.712079
110,0.730367
111,0.494646
112,0.731962
113,0.673027
114,0.729839
115,0.705913
116,0.695912
117,0.713315
118,0.724961
119,0.782910
120,0.709714
121,0.582920
122,0.708851
123,0.696371
124,0.723165
125,0.724114
126,0.638059
127,0.596905
128,0.619616
129,0.654870
130,0.723494
131,0.739920
132,0.747202
133,0.716261
134,0.576577
135,0.747636
136,0.686990
137,0.770341
138,0.705502
139,0.600851
140,0.745983
141,0.733697
142,0.643853
143,0.757209
144,0.736917
145,0.745535
146,0.562040
147,0.573425
148,0.636294
149,0.762935
150,0.714396
151,0.723274
152,0.492775
153,0.739197
154,0.664300
155,0.734505
156,0.644103
157,0.720980
158,0.721768
159,0.486708
160,0.701547
161,0.582832
162,0.708926
163,0.748423
164,0.689626
165,0.742694
166,0.746490
167,0.592561
168,0.733467
169,0.708074
170,0.735757
171,0.717818
172,0.701096
173,0.651679
174,0.724628
175,0.730039
176,0.707268
177,0.620273
178,0.745439
179,0.805930
180,0.665197
181,0.513446
182,0.711918
183,0.564855
184,0.612840
185,0.738284
186,0.685153
187,0.732922
188,0.652656
189,0.388565
190,0.728085
191,0.774369
192,0.715801
193,0.751390
194,0.738089
195,0.689033
196,0.791389
197,0.721381
198,0.718307
199,0.724579
200,0.419041
201,0.697031
202,0.693429
203,0.708332
204,0.653498
205,0.726708
206,0.677297
207,0.782257
208,0.710956
209,0.477569
210,0.407823
211,0.646191
212,0.728849
213,0.728532
214,0.692198
215,0.737768
216,0.549797
217,0.710219
218,0.727285
219,0.729503
220,0.705183
221,0.428249
222,0.783113
223,0.723529
224,0.696984
225,0.732216
226,0.433385
227,0.663174
228,0.769178
229,0.761979
230,0.727039
231,0.687812
232,0.629359
233,0.673847
234,0.311783
235,0.689743
236,0.670907
237,0.742218
238,0.717832
239,0.538734
240,0.756957
241,0.719266
242,0.437573
243,0.347557
244,0.716982
245,0.730913
246,0.817022
247,0.694688
248,0.713102
249,0.755424
250,0.731851
251,0.735559
252,0.594370
253,0.734461
254,0.724131
255,0.748297
256,0.707567
257,0.718394
258,0.660846
259,0.716248
260,0.753393
261,0.721026
262,0.687291
263,0.708219
264,0.735079
265,0.740985
266,0.714048
267,0.753040
268,0.740262
269,0.754266
270,0.743272
271,0.715777
272,0.679590
273,0.777479
274,0.386429
275,0.734106
276,0.561467
277,0.745432
278,0.739899
279,0.695924
280,0.690179
281,0.769860
282,0.763922
283,0.651915
284,0.691765
285,0.734281
286,0.649858
287,0.791564
288,0.721033
289,0.739990
290,0.743184
291,0.574264
292,0.586799
293,0.724386
294,0.663063
295,0.693416
296,0.316172
297,0.332887
298,0.649567
299,0.564369
300,0.747242
301,0.565187
302,0.731785
303,0.577911
304,0.672886
305,0.733459
306,0.738655
307,0.705963
308,0.794217
309,0.715766
310,0.725612
311,0.743366
312,0.747025
313,0.724346
314,0.747445
315,0.739985
316,0.718329
