id,Action
1,0.579612
2,0.992462
3,0.994968
4,0.989443
5,0.997999
6,0.989803
7,0.988205
8,0.997618
9,0.715758
10,0.987479
11,0.961791
12,0.981792
13,0.984981
14,0.942442
15,0.792348
16,0.881563
17,0.759964
18,0.975309
19,0.992321
20,0.994993
21,0.999224
22,0.998691
23,0.981988
24,0.985718
25,0.992993
26,0.811757
27,0.977209
28,0.945532
29,0.988375
30,0.939555
31,0.994398
32,0.985518
33,0.987156
34,0.995172
35,0.996529
36,0.986160
37,0.986149
38,0.996906
39,0.972793
40,0.925836
41,0.958710
42,0.991685
43,0.987009
44,0.996599
45,0.992308
46,0.993125
47,0.994229
48,0.986437
49,0.999110
50,0.980486
51,0.964731
52,0.996889
53,0.990626
54,0.991294
55,0.975196
56,0.991779
57,0.971835
58,0.997828
59,0.988254
60,0.982595
61,0.996072
62,0.992712
63,0.978936
64,0.995391
65,0.996657
66,0.992121
67,0.973466
68,0.995223
69,0.922900
70,0.293024
71,0.986992
72,0.989247
73,0.991945
74,0.997824
75,0.984647
76,0.993874
77,0.994341
78,0.964405
79,0.147509
80,0.997700
81,0.989618
82,0.996882
83,0.979514
84,0.995223
85,0.990228
86,0.984431
87,0.983904
88,0.993103
89,0.996581
90,0.704213
91,0.978057
92,0.773100
93,0.995598
94,0.984356
95,0.994511
96,0.990896
97,0.044888
98,0.984050
99,0.988530
100,0.994553
101,0.969808
102,0.643283
103,0.980599
104,0.974934
105,0.060821
106,0.993798
107,0.994819
108,0.985185
109,0.989670
110,0.984582
111,0.610023
112,0.993388
113,0.953347
114,0.990218
115,0.985748
116,0.978065
117,0.989762
118,0.989180
119,0.998296
120,0.982848
121,0.789914
122,0.988084
123,0.973428
124,0.991308
125,0.992864
126,0.942128
127,0.847852
128,0.877710
129,0.948156
130,0.992520
131,0.995777
132,0.996261
133,0.985356
134,0.777173
135,0.995264
136,0.960540
137,0.997263
138,0.983727
139,0.830775
140,0.994225
141,0.992137
142,0.952400
143,0.995940
144,0.992892
145,0.995502
146,0.829690
147,0.736067
148,0.918823
149,0.997352
150,0.989212
151,0.989125
152,0.530901
153,0.993095
154,0.950523
155,0.984163
156,0.918728
157,0.986376
158,0.985466
159,0.382541
160,0.981695
161,0.841737
162,0.981683
163,0.994434
164,0.974924
165,0.993784
166,0.993528
167,0.833528
168,0.990988
169,0.986171
170,0.994837
171,0.989957
172,0.983150
173,0.907887
174,0.989980
175,0.990592
176,0.985774
177,0.886744
178,0.993155
179,0.999533
180,0.943992
181,0.567029
182,0.989957
183,0.677111
184,0.901513
185,0.994499
186,0.982420
187,0.991464
188,0.922537
189,0.162381
190,0.993791
191,0.998460
192,0.987364
193,0.996525
194,0.990334
195,0.966804
196,0.998763
197,0.991459
198,0.983983
199,0.992217
200,0.255054
201,0.978821
202,0.975456
203,0.980663
204,0.943895
205,0.986288
206,0.966425
207,0.998211
208,0.982408
209,0.499426
210,0.249948
211,0.941802
212,0.984631
213,0.994429
214,0.978534
215,0.994178
216,0.675467
217,0.980804
218,0.990985
219,0.993979
220,0.989641
221,0.324818
222,0.998285
223,0.985759
224,0.967303
225,0.992198
226,0.391012
227,0.914657
228,0.997197
229,0.998121
230,0.990957
231,0.963853
232,0.871095
233,0.964341
234,0.028266
235,0.969433
236,0.952109
237,0.994549
238,0.989625
239,0.626865
240,0.996253
241,0.988280
242,0.269596
243,0.066042
244,0.987241
245,0.989347
246,0.999524
247,0.978935
248,0.985929
249,0.995511
250,0.994401
251,0.993865
252,0.817982
253,0.992949
254,0.991228
255,0.995485
256,0.981327
257,0.986720
258,0.932281
259,0.987961
260,0.997242
261,0.988286
262,0.975182
263,0.985508
264,0.994389
265,0.995884
266,0.979968
267,0.995753
268,0.993899
269,0.995158
270,0.992294
271,0.991067
272,0.961609
273,0.996294
274,0.176105
275,0.993532
276,0.851643
277,0.995191
278,0.994496
279,0.978075
280,0.971779
281,0.998906
282,0.995964
283,0.951251
284,0.973764
285,0.993204
286,0.917580
287,0.998114
288,0.991094
289,0.991314
290,0.996309
291,0.750948
292,0.823081
293,0.991514
294,0.962044
295,0.966227
296,0.018475
297,0.109948
298,0.900926
299,0.832640
300,0.994427
301,0.751284
302,0.992716
303,0.830215
304,0.965190
305,0.989980
306,0.991108
307,0.980774
308,0.998232
309,0.986442
310,0.989517
311,0.994351
312,0.992767
313,0.994028
314,0.990919
315,0.995292
316,0.988884
317,0.752282
318,0.995659
319,0.958475
320,0.999215
321,0.992207
322,0.026983
323,0.998235
324,0.995544
325,0.969812
326,0.784676
327,0.998208
328,0.998741
329,0.991954
330,0.995106
331,0.994695
332,0.993392
333,0.997554
334,0.962998
335,0.995882
336,0.970490
337,0.989512
338,0.924042
339,0.992135
340,0.983072
341,0.993942
342,0.988337
343,0.957239
344,0.996544
345,0.997397
346,0.989462
347,0.981958
348,0.976655
349,0.997424
350,0.690959
351,0.963984
352,0.999501
353,0.987928
354,0.522365
355,0.988920
356,0.993589
357,0.955854
358,0.988404
359,0.991124
360,0.198112
361,0.976638
362,0.977001
363,0.966242
364,0.904621
365,0.997949
366,0.995124
367,0.981285
368,0.996217
369,0.971001
370,0.996333
371,0.989429
372,0.985928
373,0.672602
374,0.036206
375,0.960439
376,0.992116
377,0.197830
378,0.985034
379,0.995029
380,0.397578
381,0.769990
382,0.987862
383,0.999176
384,0.957544
385,0.964752
386,0.989477
387,0.543118
388,0.978857
389,0.994637
390,0.991036
391,0.847884
392,0.997813
393,0.948902
394,0.991965
395,0.967080
396,0.978047
397,0.997072
398,0.987056
399,0.996242
400,0.991336
401,0.992370
402,0.992395
403,0.988006
404,0.928366
405,0.997104
406,0.981648
407,0.945127
408,0.992485
409,0.985371
410,0.996783
411,0.998502
412,0.733264
413,0.858899
414,0.994090
415,0.991487
416,0.971808
417,0.988396
418,0.977227
419,0.944066
420,0.991597
421,0.993641
422,0.991302
423,0.962408
424,0.852643
425,0.990954
426,0.993744
427,0.994152
428,0.991495
429,0.972591
430,0.994892
431,0.987401
432,0.981515
433,0.974083
434,0.971533
435,0.975354
436,0.997999
437,0.980621
438,0.034636
439,0.974010
440,0.090631
441,0.985145
442,0.999251
443,0.998423
444,0.993971
445,0.920285
446,0.998598
447,0.930086
448,0.995007
449,0.990528
450,0.992778
451,0.906877
452,0.987709
453,0.992918
454,0.927660
455,0.979129
456,0.993580
457,0.995974
458,0.990371
459,0.994035
460,0.440310
461,0.711496
462,0.995713
463,0.984655
464,0.987792
465,0.990244
466,0.997933
467,0.051110
468,0.964656
469,0.989511
470,0.986712
471,0.992116
472,0.992091
473,0.996363
474,0.987283
475,0.986422
476,0.985358
477,0.992073
478,0.995850
479,0.990951
480,0.992979
481,0.990867
482,0.969341
483,0.996493
484,0.990819
485,0.988671
486,0.948153
487,0.967023
488,0.988635
489,0.988595
490,0.981057
491,0.987672
492,0.984390
493,0.939342
494,0.989730
495,0.975669
496,0.994887
497,0.984854
498,0.997796
499,0.992917
500,0.987655
501,0.970575
502,0.777054
503,0.950476
504,0.992484
505,0.936365
506,0.997318
507,0.990852
508,0.973178
509,0.978438
510,0.021997
511,0.955570
512,0.993523
513,0.990212
514,0.916193
515,0.991257
516,0.994641
517,0.994178
518,0.772160
519,0.981272
520,0.486294
521,0.995477
522,0.857083
523,0.991313
524,0.023147
525,0.503184
526,0.178388
527,0.985054
528,0.985628
529,0.987177
530,0.997146
531,0.969609
532,0.978778
533,0.986638
534,0.991491
535,0.994462
536,0.994476
537,0.999534
538,0.988885
539,0.980433
540,0.793887
541,0.992194
542,0.987181
543,0.735715
544,0.981435
545,0.978847
546,0.997763
547,0.163923
548,0.944582
549,0.727633
550,0.951155
551,0.982914
552,0.909062
553,0.984721
554,0.941018
555,0.990236
556,0.987125
557,0.985048
558,0.960739
559,0.947905
560,0.987870
561,0.978440
562,0.992935
563,0.995131
564,0.662563
565,0.995318
566,0.976880
567,0.979886
568,0.909866
569,0.989194
570,0.982382
571,0.133627
572,0.973789
573,0.883171
574,0.401634
575,0.997551
576,0.992465
577,0.993813
578,0.982628
579,0.726491
580,0.968513
581,0.993925
582,0.993028
583,0.993635
584,0.970386
585,0.997946
586,0.893431
587,0.987498
588,0.987721
589,0.988523
590,0.900878
591,0.946494
592,0.994526
593,0.890173
594,0.993559
595,0.995767
596,0.990379
597,0.986845
598,0.955795
599,0.954207
600,0.938984
601,0.985660
602,0.942706
603,0.998491
604,0.983674
605,0.996004
606,0.968433
607,0.981351
608,0.984153
609,0.985235
610,0.960614
611,0.994859
612,0.972018
613,0.991923
614,0.295608
615,0.997987
616,0.073048
617,0.981775
618,0.971343
619,0.984684
620,0.975253
621,0.992109
622,0.979338
623,0.990876
624,0.627814
625,0.989094
626,0.998344
627,0.991566
628,0.987359
629,0.997122
630,0.995909
631,0.992514
632,0.982493
633,0.993546
634,0.996169
635,0.941331
636,0.995570
637,0.968023
638,0.983184
639,0.955444
640,0.994613
641,0.993483
642,0.956799
643,0.964081
644,0.987910
645,0.995586
646,0.809714
647,0.982677
648,0.913830
649,0.994692
650,0.972879
651,0.976426
652,0.994750
653,0.047165
654,0.969863
655,0.713001
656,0.993714
657,0.986099
658,0.988299
659,0.993375
660,0.996041
661,0.994211
662,0.982463
663,0.980905
664,0.987105
665,0.868281
666,0.363636
667,0.858729
668,0.991899
669,0.941758
670,0.712169
671,0.766539
672,0.913560
673,0.236186
674,0.968306
675,0.982056
676,0.982700
677,0.937048
678,0.991016
679,0.989938
680,0.989011
681,0.362230
682,0.930429
683,0.993520
684,0.993175
685,0.986493
686,0.979236
687,0.981218
688,0.989079
689,0.989573
690,0.994823
691,0.995697
692,0.982358
693,0.814321
694,0.988303
695,0.992823
696,0.361443
697,0.998124
698,0.994602
699,0.989903
700,0.993288
701,0.919144
702,0.990983
703,0.988870
704,0.881082
705,0.661236
706,0.907839
707,0.725015
708,0.995438
709,0.973125
710,0.989869
711,0.414472
712,0.942816
713,0.994215
714,0.994431
715,0.987769
716,0.893996
717,0.995529
718,0.962888
719,0.883801
720,0.971813
721,0.965895
722,0.994109
723,0.980731
724,0.977949
725,0.989904
726,0.858499
727,0.992446
728,0.997504
729,0.715301
730,0.946616
731,0.966138
732,0.998089
733,0.993585
734,0.998098
735,0.973956
736,0.390501
737,0.981024
738,0.988532
739,0.994050
740,0.996934
741,0.996729
742,0.992377
743,0.983401
744,0.990891
745,0.989483
746,0.997086
747,0.990987
748,0.993288
749,0.992005
750,0.996985
751,0.985731
752,0.981441
753,0.964605
754,0.990053
755,0.985436
756,0.939152
757,0.996169
758,0.993886
759,0.971133
760,0.982227
761,0.968394
762,0.972085
763,0.851151
764,0.894255
765,0.990916
766,0.992448
767,0.976168
768,0.986443
769,0.992255
770,0.994848
771,0.998543
772,0.965940
773,0.994917
774,0.979831
775,0.993201
776,0.690214
777,0.960567
778,0.992614
779,0.990430
780,0.903038
781,0.778595
782,0.985560
783,0.994034
784,0.985336
785,0.498753
786,0.946940
787,0.996919
788,0.965389
789,0.985990
790,0.922501
791,0.968994
792,0.991218
793,0.919071
794,0.965778
795,0.990368
796,0.988685
797,0.994126
798,0.993569
799,0.958680
800,0.997659
801,0.996574
802,0.989298
803,0.935019
804,0.984666
805,0.981878
806,0.994550
807,0.810925
808,0.948188
809,0.994197
810,0.995878
811,0.993132
812,0.059047
813,0.993571
814,0.942753
815,0.414272
816,0.998135
817,0.994861
818,0.984742
819,0.992268
820,0.913037
821,0.945420
822,0.990939
823,0.996248
824,0.992528
825,0.994333
826,0.982065
827,0.996312
828,0.985311
829,0.996746
830,0.995358
831,0.681790
832,0.997650
833,0.990489
834,0.979361
835,0.994100
836,0.957928
837,0.946665
838,0.993818
839,0.939834
840,0.961128
841,0.937086
842,0.996614
843,0.996898
844,0.992071
845,0.976974
846,0.989576
847,0.996290
848,0.992348
849,0.969063
850,0.198747
851,0.992522
852,0.922861
853,0.991708
854,0.074607
855,0.988982
856,0.994802
857,0.944781
858,0.988587
859,0.987331
860,0.998439
861,0.990864
862,0.967068
863,0.995248
864,0.958169
865,0.071953
866,0.983515
867,0.989689
868,0.980286
869,0.988334
870,0.994171
871,0.989011
872,0.924682
873,0.989226
874,0.955664
875,0.992411
876,0.990320
877,0.989891
878,0.992107
879,0.991864
880,0.980409
881,0.847661
882,0.993541
883,0.997518
884,0.953117
885,0.961970
886,0.992310
887,0.970999
888,0.997148
889,0.978100
890,0.999794
891,0.999317
892,0.913882
893,0.633737
894,0.998163
895,0.992373
896,0.990426
897,0.472304
898,0.984573
899,0.935482
900,0.998827
901,0.993780
902,0.987216
903,0.995606
904,0.994876
905,0.994779
906,0.995785
907,0.997802
908,0.999774
909,0.905334
910,0.976682
911,0.678353
912,0.974858
913,0.997216
914,0.996571
915,0.994590
916,0.973287
917,0.985063
918,0.988203
919,0.990816
920,0.991467
921,0.986187
922,0.994932
923,0.822485
924,0.990148
925,0.800625
926,0.989613
927,0.997989
928,0.994849
929,0.996500
930,0.996059
931,0.984994
932,0.993972
933,0.993305
934,0.978585
935,0.983569
936,0.883828
937,0.994007
938,0.988785
939,0.984952
940,0.982220
941,0.991986
942,0.993160
943,0.326502
944,0.994845
945,0.985827
946,0.964806
947,0.981560
948,0.957507
949,0.997500
950,0.997804
951,0.998417
952,0.385266
953,0.992871
954,0.987647
955,0.982110
956,0.053317
957,0.985704
958,0.989722
959,0.124356
960,0.930925
961,0.985222
962,0.988336
963,0.989591
964,0.881813
965,0.979144
966,0.854372
967,0.994590
968,0.654456
969,0.985930
970,0.891272
971,0.977763
972,0.994283
973,0.995180
974,0.990958
975,0.985091
976,0.980717
977,0.990205
978,0.784035
979,0.961571
980,0.287961
981,0.994442
982,0.992079
983,0.999716
984,0.016614
985,0.992804
986,0.985181
987,0.999786
988,0.994698
989,0.988172
990,0.242996
991,0.216600
992,0.985548
993,0.997872
994,0.992800
995,0.975129
996,0.996339
997,0.596318
998,0.987510
999,0.989814
1000,0.985268
1001,0.991971
1002,0.963929
1003,0.968084
1004,0.990253
1005,0.987713
1006,0.950495
1007,0.994096
1008,0.991934
1009,0.995437
1010,0.989311
1011,0.998067
1012,0.972357
1013,0.992080
1014,0.975685
1015,0.970203
1016,0.997670
1017,0.108571
1018,0.977708
1019,0.983837
1020,0.989890
1021,0.988515
1022,0.964380
1023,0.984862
1024,0.994479
1025,0.913351
1026,0.978314
1027,0.996552
1028,0.996518
1029,0.992049
1030,0.988528
1031,0.986090
1032,0.997842
1033,0.994772
1034,0.969131
1035,0.998240
1036,0.995520
1037,0.970338
1038,0.984192
1039,0.950221
1040,0.996271
1041,0.978225
1042,0.968911
1043,0.055157
1044,0.785361
1045,0.641901
1046,0.990795
1047,0.993694
1048,0.990429
1049,0.141018
1050,0.998495
1051,0.990423
1052,0.978614
1053,0.998515
1054,0.824456
1055,0.992709
1056,0.959595
1057,0.957863
1058,0.985237
1059,0.984243
1060,0.990845
1061,0.986893
1062,0.975410
1063,0.975399
1064,0.978296
1065,0.994885
1066,0.997366
1067,0.992455
1068,0.924538
1069,0.978599
