id,Action
1,0.899603
2,0.997712
3,0.997751
4,0.996602
5,0.999304
6,0.997192
7,0.995765
8,0.999685
9,0.414737
10,0.990165
11,0.979987
12,0.994732
13,0.995621
14,0.991436
15,0.911403
16,0.788302
17,0.879971
18,0.943477
19,0.998203
20,0.997579
21,0.999979
22,0.998963
23,0.992199
24,0.991565
25,0.997638
26,0.911870
27,0.990881
28,0.993083
29,0.994158
30,0.983831
31,0.997104
32,0.990270
33,0.997444
34,0.998491
35,0.998376
36,0.994403
37,0.995638
38,0.999066
39,0.991730
40,0.974661
41,0.996204
42,0.992407
43,0.994817
44,0.998674
45,0.996502
46,0.996366
47,0.997831
48,0.996034
49,0.999714
50,0.992488
51,0.988135
52,0.998811
53,0.994006
54,0.997431
55,0.986918
56,0.997528
57,0.994176
58,0.999427
59,0.996077
60,0.994008
61,0.998098
62,0.999077
63,0.993990
64,0.998565
65,0.999206
66,0.997575
67,0.986008
68,0.998293
69,0.975230
70,0.562361
71,0.993393
72,0.995943
73,0.996728
74,0.999514
75,0.995137
76,0.997983
77,0.996952
78,0.982153
79,0.171104
80,0.999352
81,0.997793
82,0.998955
83,0.992530
84,0.998874
85,0.996250
86,0.997241
87,0.992773
88,0.997012
89,0.997014
90,0.840948
91,0.982110
92,0.825172
93,0.997165
94,0.998587
95,0.998464
96,0.996633
97,0.104614
98,0.993916
99,0.996538
100,0.999021
101,0.985225
102,0.604941
103,0.994772
104,0.993120
105,0.067536
106,0.998157
107,0.998605
108,0.995076
109,0.996802
110,0.997018
111,0.833154
112,0.997216
113,0.988612
114,0.996378
115,0.993505
116,0.984672
117,0.996997
118,0.992515
119,0.999191
120,0.991736
121,0.914290
122,0.992843
123,0.991330
124,0.991910
125,0.998126
126,0.957803
127,0.949734
128,0.952475
129,0.973745
130,0.997505
131,0.998356
132,0.998694
133,0.993354
134,0.902365
135,0.998474
136,0.974892
137,0.998695
138,0.989672
139,0.901880
140,0.998094
141,0.999748
142,0.963840
143,0.998670
144,0.997555
145,0.997232
146,0.876708
147,0.930483
148,0.931660
149,0.998956
150,0.996815
151,0.996165
152,0.801449
153,0.997231
154,0.978993
155,0.997696
156,0.967986
157,0.994478
