id,Action
1,0.910827
2,0.997344
3,0.996805
4,0.995232
5,0.999210
6,0.996434
7,0.992138
8,0.999579
9,0.381088
10,0.990341
11,0.978809
12,0.992045
13,0.993734
14,0.968605
15,0.904490
16,0.866671
17,0.865144
18,0.964101
19,0.997594
20,0.996618
21,0.999921
22,0.998385
23,0.990408
24,0.993318
25,0.997129
26,0.911831
27,0.989681
28,0.985870
29,0.993607
30,0.975899
31,0.996616
32,0.990844
33,0.996072
34,0.997838
35,0.998021
36,0.993380
37,0.994799
38,0.998065
39,0.987367
40,0.952988
41,0.989390
42,0.991715
43,0.992839
44,0.998770
45,0.995639
46,0.995095
47,0.997461
48,0.994061
49,0.999451
50,0.991112
51,0.983670
52,0.998515
53,0.994184
54,0.996542
55,0.983391
56,0.997031
57,0.988886
58,0.999310
59,0.994822
60,0.992751
61,0.997723
62,0.997777
63,0.991258
64,0.998128
65,0.998424
66,0.997023
67,0.987757
68,0.997974
69,0.951711
70,0.691800
71,0.989319
72,0.994754
73,0.995994
74,0.999256
75,0.993424
76,0.996824
77,0.996234
78,0.966514
79,0.191090
80,0.998970
81,0.997491
82,0.998738
83,0.992466
84,0.998720
85,0.995843
86,0.996630
87,0.991147
88,0.998018
89,0.996727
90,0.837453
91,0.979047
92,0.830719
93,0.996422
94,0.996224
95,0.998192
96,0.995186
97,0.151085
98,0.992890
99,0.995343
100,0.998422
101,0.982991
102,0.635406
103,0.992417
104,0.989116
105,0.082521
106,0.997445
107,0.997815
108,0.993235
109,0.996253
110,0.996365
111,0.832740
112,0.996352
113,0.984793
114,0.995864
115,0.993727
116,0.982668
117,0.995203
118,0.989864
119,0.999071
120,0.991408
121,0.911083
122,0.991157
123,0.990928
124,0.990333
125,0.997003
126,0.897234
127,0.947940
128,0.945017
129,0.974737
130,0.995857
131,0.998026
132,0.998762
133,0.991816
134,0.901160
135,0.997966
136,0.971584
137,0.998566
138,0.986888
139,0.860871
140,0.997447
141,0.999478
142,0.974350
143,0.997986
144,0.996094
145,0.996676
146,0.897342
147,0.938085
148,0.908816
149,0.999067
150,0.996363
151,0.994926
152,0.798596
153,0.996264
154,0.974454
155,0.996332
156,0.964071
157,0.993980
158,0.992504
159,0.589420
160,0.987714
161,0.750218
162,0.990689
163,0.997704
164,0.986222
165,0.998459
166,0.997746
167,0.970708
168,0.995791
169,0.993955
170,0.997538
171,0.994522
172,0.989388
173,0.965712
174,0.994239
175,0.994220
176,0.997486
177,0.922462
178,0.994537
179,0.999940
180,0.988937
181,0.296892
182,0.994659
183,0.848994
184,0.913345
185,0.993954
186,0.983710
187,0.995049
188,0.982748
189,0.207358
190,0.996694
191,0.999305
192,0.991693
193,0.998420
194,0.995399
195,0.969709
196,0.999265
197,0.994117
198,0.989915
199,0.995786
200,0.427540
201,0.991961
202,0.985912
203,0.991919
204,0.991803
205,0.994167
206,0.990677
207,0.999147
208,0.990030
209,0.680814
210,0.480684
211,0.976363
212,0.993720
213,0.998169
214,0.990194
215,0.996672
216,0.847324
217,0.989246
218,0.997136
219,0.994719
220,0.997094
221,0.492352
222,0.999267
223,0.993141
224,0.976204
225,0.992492
226,0.684952
227,0.894322
228,0.998868
229,0.998688
230,0.992658
231,0.977566
232,0.881497
233,0.985568
234,0.027109
235,0.975762
236,0.949465
237,0.996838
238,0.994845
239,0.895343
240,0.998567
241,0.983432
242,0.435445
243,0.069203
244,0.993270
245,0.995839
246,0.999877
247,0.987762
248,0.991735
249,0.997949
250,0.998796
251,0.996853
252,0.864351
253,0.996933
254,0.996058
255,0.998079
256,0.992972
257,0.993385
258,0.978488
259,0.993924
260,0.998694
261,0.995528
262,0.979069
263,0.992625
264,0.997607
265,0.998288
266,0.987105
267,0.998139
268,0.995606
269,0.997695
270,0.997068
271,0.992901
272,0.984374
273,0.997896
274,0.194869
275,0.997480
276,0.856345
277,0.996925
278,0.997422
279,0.993653
280,0.985113
281,0.999618
282,0.998885
283,0.959023
284,0.986274
285,0.997259
286,0.952369
287,0.999338
288,0.996250
289,0.997049
290,0.998497
291,0.668422
292,0.868940
293,0.994771
294,0.983337
295,0.990204
296,0.026670
297,0.078598
298,0.968647
299,0.919760
300,0.995804
301,0.614741
302,0.995945
303,0.746534
304,0.981175
305,0.994968
306,0.993538
307,0.992894
308,0.998961
309,0.987949
310,0.995851
311,0.998946
312,0.996160
313,0.998428
314,0.996650
315,0.997950
316,0.996454
317,0.925454
318,0.998175
319,0.941889
320,0.999752
321,0.995245
322,0.025501
323,0.999205
324,0.997609
325,0.995738
326,0.811948
327,0.998293
328,0.999785
329,0.996817
330,0.998046
331,0.996927
332,0.995980
333,0.999087
334,0.983027
335,0.998400
336,0.980129
337,0.994758
338,0.975653
339,0.996656
340,0.990496
341,0.995959
342,0.996051
343,0.973443
344,0.998426
345,0.998208
346,0.992533
347,0.991664
348,0.987399
349,0.998813
350,0.403876
351,0.989287
352,0.999767
353,0.994696
354,0.611647
355,0.990853
356,0.997514
357,0.968749
358,0.993563
359,0.993413
360,0.243857
361,0.986963
362,0.988828
363,0.981951
364,0.853364
365,0.998882
366,0.998297
367,0.993798
368,0.997743
369,0.991774
370,0.997825
371,0.995000
372,0.993197
373,0.844000
374,0.039276
375,0.970950
376,0.995100
377,0.147527
378,0.994820
379,0.998058
380,0.646744
381,0.637691
382,0.994498
383,0.999835
384,0.970333
385,0.980774
386,0.994466
387,0.801039
388,0.978853
389,0.995227
390,0.995711
391,0.900150
392,0.998730
393,0.968198
394,0.998007
395,0.979536
396,0.988829
397,0.998817
398,0.993599
399,0.998156
400,0.994628
401,0.991231
402,0.996550
403,0.977489
404,0.973816
405,0.998961
406,0.988145
407,0.938565
408,0.995459
409,0.993028
410,0.999131
411,0.999340
412,0.910327
413,0.932320
414,0.994304
415,0.993492
416,0.992102
417,0.994862
418,0.991871
419,0.972905
420,0.994640
421,0.998241
422,0.996085
423,0.991691
424,0.935897
425,0.996416
426,0.995646
427,0.996468
428,0.995413
429,0.986649
430,0.997860
431,0.991912
432,0.981842
433,0.987651
434,0.982240
435,0.993568
436,0.999023
437,0.990547
438,0.034897
439,0.986644
440,0.118010
441,0.987330
442,0.999610
443,0.999274
444,0.995943
445,0.882564
446,0.999215
447,0.971844
448,0.997691
449,0.995152
450,0.998264
451,0.917980
452,0.994706
453,0.996812
454,0.960473
455,0.989600
456,0.996530
457,0.997520
458,0.994586
459,0.996316
460,0.594869
461,0.626218
462,0.998359
463,0.991726
464,0.994670
465,0.994877
466,0.999439
467,0.055091
468,0.968187
469,0.995181
470,0.993723
471,0.998385
472,0.995781
473,0.997709
474,0.991545
475,0.990671
476,0.994616
477,0.996336
478,0.998838
479,0.996754
480,0.997033
481,0.994998
482,0.989069
483,0.998976
484,0.995320
485,0.992224
486,0.978684
487,0.987189
488,0.985803
489,0.994122
490,0.992180
491,0.992666
492,0.994406
493,0.979912
494,0.995320
495,0.991260
496,0.998353
497,0.994827
498,0.999488
499,0.998441
500,0.986871
501,0.991546
502,0.903650
503,0.974540
504,0.997060
505,0.985083
506,0.998628
507,0.995388
508,0.988404
509,0.993542
510,0.025486
511,0.973366
512,0.996030
513,0.996092
514,0.903543
515,0.996543
516,0.998641
517,0.996786
518,0.906093
519,0.990546
520,0.354977
521,0.998513
522,0.963883
523,0.995696
524,0.020901
525,0.628931
526,0.051649
527,0.992805
528,0.994272
529,0.995428
530,0.998144
531,0.978160
532,0.994777
533,0.994816
534,0.997071
535,0.997240
536,0.996713
537,0.999616
538,0.996117
539,0.989333
540,0.891198
541,0.994921
542,0.993313
543,0.885571
544,0.984672
545,0.995263
546,0.999552
547,0.038530
548,0.968858
549,0.843607
550,0.978949
551,0.994968
552,0.975792
553,0.989067
554,0.976986
555,0.997274
556,0.993194
557,0.991211
558,0.986407
559,0.986117
560,0.996207
561,0.985796
562,0.996166
563,0.998285
564,0.761401
565,0.997743
566,0.986495
567,0.983127
568,0.958795
569,0.996058
570,0.992212
571,0.099119
572,0.995236
573,0.910571
574,0.437914
575,0.999373
576,0.996678
577,0.996884
578,0.992382
579,0.872109
580,0.992250
581,0.997347
582,0.995264
583,0.995047
