id,Action
1,0.941215
2,0.966175
3,0.966884
4,0.969209
5,0.966202
6,0.965470
7,0.958213
8,0.965868
9,0.959938
10,0.962855
11,0.963186
12,0.961881
13,0.959940
14,0.958214
15,0.948157
16,0.961603
17,0.958692
18,0.961600
19,0.968264
20,0.966888
21,0.967285
22,0.963968
23,0.968264
24,0.962405
25,0.962845
26,0.948156
27,0.959085
28,0.961593
29,0.964734
30,0.958212
31,0.960871
32,0.964383
33,0.959214
34,0.962411
35,0.959955
36,0.965566
37,0.960779
38,0.960067
39,0.958226
40,0.958212
41,0.960791
42,0.959946
43,0.961615
44,0.963962
45,0.962408
46,0.970833
47,0.966612
48,0.959087
49,0.959217
50,0.959092
51,0.962417
52,0.967587
53,0.960800
54,0.961614
55,0.958212
56,0.959138
57,0.962411
58,0.960783
59,0.959142
60,0.959944
61,0.966799
62,0.964195
63,0.960785
64,0.970831
65,0.959104
66,0.959940
67,0.963237
68,0.961597
69,0.964717
70,0.941880
71,0.975893
72,0.966889
73,0.968264
74,0.962054
75,0.962412
76,0.959943
77,0.960033
78,0.965430
79,0.850780
80,0.975425
81,0.959085
82,0.968295
83,0.959085
84,0.959101
85,0.962682
86,0.958344
87,0.960781
88,0.962046
89,0.962406
90,0.944789
91,0.963192
92,0.950276
93,0.964198
94,0.966174
95,0.961046
96,0.959940
97,0.847892
98,0.958212
99,0.961609
100,0.961238
101,0.954275
102,0.959083
103,0.959979
104,0.958253
105,0.917912
106,0.959944
107,0.963196
108,0.961837
109,0.960043
110,0.958482
111,0.942431
112,0.959951
113,0.959673
114,0.958212
115,0.962653
116,0.964729
117,0.960782
118,0.961029
119,0.962841
120,0.959179
121,0.947058
122,0.962405
123,0.960790
124,0.961028
125,0.965801
126,0.959939
127,0.958252
128,0.952309
129,0.963954
130,0.958213
131,0.959122
132,0.961610
133,0.963954
134,0.948163
135,0.960777
136,0.964718
137,0.960215
138,0.963192
139,0.958212
140,0.965468
141,0.959933
142,0.958212
143,0.965457
144,0.961609
145,0.959719
146,0.959956
147,0.958248
148,0.959553
149,0.966177
150,0.968264
151,0.963965
152,0.942434
153,0.967585
154,0.965462
155,0.961042
156,0.949545
157,0.960782
158,0.959941
159,0.919588
160,0.965467
161,0.959082
162,0.963954
163,0.959940
164,0.963626
165,0.959129
166,0.959085
167,0.951619
168,0.966363
169,0.963198
170,0.959102
171,0.963965
172,0.960785
173,0.958831
174,0.959086
175,0.962640
176,0.961608
177,0.958226
178,0.962416
179,0.968937
180,0.960828
181,0.960776
182,0.958213
183,0.941215
184,0.959081
185,0.965467
186,0.949222
187,0.962405
188,0.951393
189,0.810065
190,0.960781
191,0.968266
192,0.962407
193,0.966896
194,0.960777
195,0.961600
196,0.964641
197,0.958239
198,0.964238
199,0.965467
200,0.691390
201,0.958215
202,0.958212
203,0.963199
204,0.951302
205,0.958212
206,0.959940
207,0.959119
208,0.965165
209,0.925917
210,0.888691
211,0.949219
212,0.964729
213,0.967585
214,0.961649
215,0.966880
216,0.911442
217,0.963970
218,0.963208
219,0.965747
220,0.959110
221,0.922807
222,0.964726
223,0.959085
224,0.963188
225,0.960785
226,0.623497
227,0.964379
228,0.961607
229,0.964119
230,0.962422
231,0.960773
232,0.958211
233,0.959558
234,0.731236
235,0.961846
236,0.958214
237,0.974086
238,0.958266
239,0.948136
240,0.961609
241,0.959086
242,0.941029
243,0.796157
244,0.971628
245,0.959181
246,0.966912
247,0.961606
248,0.960901
249,0.960779
250,0.962404
251,0.959941
252,0.958206
253,0.959089
254,0.959088
255,0.959959
256,0.959085
257,0.961600
258,0.959089
259,0.963196
260,0.964719
261,0.960416
262,0.960781
263,0.962050
264,0.963207
265,0.962400
266,0.966882
267,0.965866
268,0.963186
269,0.960779
270,0.959951
271,0.959981
272,0.958212
273,0.965461
274,0.802949
275,0.962409
276,0.964729
277,0.958217
278,0.962407
279,0.958212
280,0.965673
281,0.964744
282,0.959948
283,0.958212
284,0.964712
285,0.960781
286,0.951302
287,0.961597
288,0.963969
289,0.962051
290,0.962448
291,0.959099
292,0.949219
293,0.970209
294,0.958212
295,0.961596
296,0.650333
297,0.953408
298,0.956175
299,0.960787
300,0.960778
301,0.959938
302,0.967586
303,0.963944
304,0.959945
305,0.964729
306,0.965461
307,0.964001
308,0.972686
309,0.961612
310,0.961685
311,0.958213
312,0.962405
313,0.966206
314,0.960782
315,0.960791
316,0.959085
317,0.947058
318,0.961040
319,0.973173
320,0.966035
321,0.969719
322,0.394860
323,0.963975
324,0.959942
325,0.958212
326,0.958208
327,0.962409
328,0.959094
329,0.959214
330,0.960783
331,0.963432
332,0.958960
333,0.966741
334,0.959969
335,0.970211
336,0.962404
337,0.963967
338,0.954263
339,0.963202
340,0.959940
341,0.964721
342,0.961600
343,0.959089
344,0.964829
345,0.959941
346,0.959089
347,0.962408
348,0.959644
349,0.963966
350,0.964550
351,0.961032
352,0.959087
353,0.963197
354,0.941190
355,0.961242
356,0.960777
357,0.960899
358,0.958226
359,0.960797
360,0.957850
361,0.965472
362,0.960785
363,0.971489
364,0.963927
365,0.962405
366,0.961608
367,0.961603
368,0.966191
369,0.972041
370,0.961047
371,0.964719
372,0.958212
373,0.959068
374,0.847894
375,0.964724
376,0.959557
377,0.959332
378,0.959085
379,0.963962
380,0.893085
381,0.958209
382,0.959954
383,0.962863
384,0.958212
385,0.963256
386,0.963965
387,0.942435
388,0.959085
389,0.967596
390,0.964719
391,0.959088
392,0.959940
393,0.960784
