id,Action
1,0.617377
2,0.993776
3,0.995989
4,0.991345
5,0.998391
6,0.991238
7,0.990210
8,0.998115
9,0.726490
10,0.989434
11,0.968057
12,0.985045
13,0.987956
14,0.954038
15,0.811403
16,0.886748
17,0.778421
18,0.980403
19,0.993717
20,0.996156
21,0.999431
22,0.999093
23,0.985036
24,0.988130
25,0.994413
26,0.829238
27,0.980872
28,0.956601
29,0.990519
30,0.947053
31,0.995662
32,0.987832
33,0.989667
34,0.996116
35,0.997226
36,0.988628
37,0.988355
38,0.997628
39,0.977628
40,0.935968
41,0.965097
42,0.993578
43,0.989417
44,0.997338
45,0.993776
46,0.994574
47,0.995315
48,0.988906
49,0.999326
50,0.983646
51,0.973529
52,0.997535
53,0.992138
54,0.992733
55,0.979553
56,0.993599
57,0.976876
58,0.998343
59,0.990319
60,0.985571
61,0.996826
62,0.994301
63,0.982498
64,0.996302
65,0.997373
66,0.993854
67,0.977721
68,0.996177
69,0.932242
70,0.286692
71,0.989365
72,0.991084
73,0.993491
74,0.998309
75,0.987391
76,0.995006
77,0.995524
78,0.970490
79,0.147087
80,0.998252
81,0.991468
82,0.997641
83,0.983074
84,0.996194
85,0.992790
86,0.988091
87,0.986568
88,0.994453
89,0.997344
90,0.724944
91,0.981859
92,0.796178
93,0.996500
94,0.987713
95,0.995472
96,0.992805
97,0.042444
98,0.986829
99,0.990643
100,0.995631
101,0.978109
102,0.675906
103,0.984149
104,0.979902
105,0.054057
106,0.994949
107,0.995800
108,0.987986
109,0.991356
110,0.987396
111,0.642944
112,0.994697
113,0.962393
114,0.992072
115,0.988705
116,0.981440
117,0.992081
118,0.991195
119,0.998693
120,0.985530
121,0.806778
122,0.990224
123,0.978089
124,0.992813
125,0.994190
126,0.949667
127,0.869384
128,0.893875
129,0.955879
130,0.994056
131,0.996673
132,0.997127
133,0.988001
134,0.799970
135,0.996174
136,0.967120
137,0.997831
138,0.986348
139,0.846428
140,0.995367
141,0.993953
142,0.959515
143,0.996758
144,0.994347
145,0.996499
146,0.847091
147,0.746263
148,0.931973
149,0.997971
150,0.991078
151,0.991043
152,0.538706
153,0.994471
154,0.957361
155,0.987026
156,0.929624
157,0.989203
158,0.988150
159,0.377656
160,0.984972
161,0.862780
162,0.984692
163,0.995561
164,0.978957
165,0.994989
166,0.994750
167,0.850725
168,0.992799
169,0.988448
170,0.995800
171,0.991870
172,0.986125
173,0.918665
174,0.991796
175,0.992244
176,0.987753
177,0.898826
178,0.994577
179,0.999675
180,0.952527
181,0.580665
182,0.991795
183,0.683497
184,0.915152
185,0.995653
186,0.988154
187,0.993085
188,0.932235
189,0.163476
190,0.995245
191,0.998823
192,0.989817
193,0.997250
194,0.992079
195,0.972297
196,0.999124
197,0.993085
198,0.986615
199,0.993628
200,0.267438
201,0.982554
202,0.979222
203,0.984104
204,0.953878
205,0.988787
206,0.971254
207,0.998643
208,0.985721
209,0.518545
210,0.251874
211,0.951727
212,0.987268
213,0.995406
214,0.982187
215,0.995491
216,0.695112
217,0.984223
218,0.992667
219,0.995013
220,0.992661
221,0.335752
222,0.998691
223,0.988259
224,0.972723
225,0.993801
226,0.419146
227,0.925568
228,0.997809
229,0.998558
230,0.992729
231,0.969693
232,0.883297
233,0.969848
234,0.025541
235,0.974052
236,0.958982
237,0.995939
238,0.991816
239,0.639152
240,0.996992
241,0.990251
242,0.266079
243,0.063252
244,0.989432
245,0.991680
246,0.999665
247,0.982528
248,0.988222
249,0.996497
250,0.995582
251,0.995351
252,0.829704
253,0.994333
254,0.992682
255,0.996414
256,0.984586
257,0.989217
258,0.942885
259,0.990708
260,0.997798
261,0.990835
262,0.979275
263,0.987973
264,0.995432
265,0.996704
266,0.983603
267,0.996575
268,0.995069
269,0.996234
270,0.993789
271,0.992648
272,0.967364
273,0.997127
274,0.179973
275,0.994750
276,0.861937
277,0.996299
278,0.995661
279,0.981644
280,0.976367
281,0.999142
282,0.996889
283,0.958560
284,0.978115
285,0.994664
286,0.929897
287,0.998549
288,0.992630
289,0.993100
290,0.997046
291,0.774068
292,0.843663
293,0.992839
294,0.967884
295,0.971624
296,0.016139
297,0.102782
298,0.910923
299,0.859885
300,0.995781
301,0.763215
302,0.994117
303,0.844722
304,0.972974
305,0.992108
306,0.992932
307,0.984472
308,0.998657
309,0.989168
310,0.991564
311,0.995556
312,0.994389
313,0.995376
314,0.992672
315,0.996189
316,0.990889
317,0.770105
318,0.996522
319,0.965436
320,0.999462
321,0.993604
322,0.025234
323,0.998613
324,0.996430
325,0.973728
326,0.798278
327,0.998721
328,0.999052
329,0.993633
330,0.996110
331,0.995855
332,0.994975
333,0.998158
334,0.968961
335,0.996719
336,0.975516
337,0.991380
338,0.934109
339,0.993924
340,0.986283
341,0.995162
342,0.990163
343,0.964592
344,0.997250
345,0.998172
346,0.991359
347,0.985441
348,0.980533
349,0.998010
350,0.695187
351,0.969624
352,0.999631
353,0.990395
354,0.554959
355,0.991404
356,0.994966
357,0.962687
358,0.990494
359,0.992776
360,0.192651
361,0.980229
362,0.980401
363,0.971986
364,0.922667
365,0.998419
366,0.996126
367,0.983970
368,0.996984
369,0.975285
370,0.997345
371,0.991351
372,0.988319
373,0.687766
374,0.032645
375,0.966018
376,0.993919
377,0.201806
378,0.987693
379,0.995985
380,0.411560
381,0.780016
382,0.990106
383,0.999382
384,0.964521
385,0.970960
386,0.991397
387,0.545092
388,0.982029
389,0.995762
390,0.992671
391,0.864939
392,0.998332
393,0.956839
394,0.993365
395,0.972721
396,0.981422
397,0.997757
398,0.989425
399,0.997127
400,0.993051
401,0.993949
402,0.994011
403,0.990530
404,0.936432
405,0.997755
406,0.985468
407,0.952963
408,0.993914
409,0.987658
410,0.997558
411,0.998846
412,0.750741
413,0.876569
414,0.995353
415,0.992964
416,0.976322
417,0.990278
418,0.981395
419,0.951770
420,0.993419
421,0.995045
422,0.993052
423,0.968198
424,0.867463
425,0.992716
426,0.995224
427,0.995334
428,0.993158
429,0.977181
430,0.995869
431,0.989506
432,0.984650
433,0.978287
434,0.976342
435,0.979004
436,0.998457
437,0.984005
438,0.031371
439,0.978482
440,0.091739
441,0.988083
442,0.999453
443,0.998867
444,0.995353
445,0.930738
446,0.998955
447,0.940320
448,0.995940
449,0.992373
450,0.994512
451,0.920357
452,0.990133
453,0.994332
454,0.937779
455,0.982698
456,0.994817
457,0.996891
458,0.992605
459,0.995205
460,0.459689
461,0.729737
462,0.996508
463,0.987403
464,0.989934
465,0.992224
466,0.998418
467,0.049879
468,0.970239
469,0.991493
470,0.989260
471,0.993885
472,0.993941
473,0.997215
474,0.990072
475,0.989154
476,0.988262
477,0.993712
478,0.996821
479,0.992525
480,0.994285
481,0.992644
482,0.974488
483,0.997253
484,0.992353
485,0.990780
486,0.956237
487,0.972652
488,0.990765
489,0.990640
490,0.984563
491,0.990146
492,0.987128
493,0.947895
494,0.991583
495,0.979401
496,0.995986
497,0.987459
498,0.998332
499,0.994352
500,0.990056
501,0.974583
502,0.794079
503,0.960453
504,0.993888
505,0.945941
506,0.997936
507,0.992618
508,0.977978
509,0.981663
510,0.020473
511,0.961389
512,0.994959
513,0.992241
514,0.933095
515,0.992890
516,0.995807
517,0.995297
518,0.789464
519,0.984392
520,0.489801
521,0.996420
522,0.874468
523,0.992863
524,0.021267
525,0.511518
526,0.175098
527,0.987757
528,0.988348
529,0.989813
530,0.997770
531,0.974419
532,0.982384
533,0.989082
534,0.993752
535,0.995549
536,0.995537
537,0.999677
538,0.991036
539,0.983898
540,0.808567
541,0.993709
542,0.989570
543,0.751731
544,0.984494
545,0.982524
546,0.998336
547,0.154494
548,0.954540
549,0.737494
550,0.958339
551,0.985810
552,0.922069
553,0.987329
554,0.949023
555,0.992283
556,0.989563
557,0.987466
558,0.967055
559,0.956263
560,0.990736
561,0.982005
562,0.994306
563,0.996027
564,0.667533
565,0.996302
566,0.981564
567,0.983631
568,0.922367
569,0.991415
570,0.985617
571,0.135324
572,0.978101
573,0.898929
574,0.404795
575,0.998104
576,0.993849
577,0.994921
578,0.985645
579,0.748507
580,0.973860
581,0.995103
582,0.994449
583,0.994895
584,0.973791
585,0.998367
586,0.903328
587,0.989837
588,0.990282
589,0.990653
590,0.913544
591,0.954834
592,0.995743
593,0.906241
594,0.994922
595,0.996538
596,0.991950
597,0.988928
598,0.962883
599,0.960564
600,0.950801
601,0.988115
602,0.950275
603,0.998811
604,0.986505
605,0.996982
606,0.972876
607,0.984553
608,0.987091
609,0.987551
610,0.966751
611,0.995847
612,0.976378
613,0.993571
614,0.303463
615,0.998529
616,0.073234
617,0.985577
618,0.976651
619,0.986683
620,0.979089
621,0.993651
622,0.983170
623,0.992609
624,0.652884
625,0.991470
626,0.998706
627,0.993246
628,0.989502
629,0.997750
630,0.996720
631,0.994064
632,0.985133
633,0.994804
634,0.996934
635,0.950982
636,0.996687
637,0.972933
638,0.986863
639,0.960531
640,0.995697
641,0.994839
642,0.963823
643,0.968616
644,0.990439
645,0.996513
646,0.828055
647,0.985762
648,0.925929
649,0.995756
650,0.978246
651,0.980283
652,0.995724
653,0.042719
654,0.973912
655,0.729787
656,0.994959
657,0.988849
658,0.990471
659,0.994687
660,0.996994
661,0.995308
662,0.986077
663,0.984103
664,0.989558
665,0.886293
666,0.368165
667,0.875722
668,0.993482
669,0.950320
670,0.726600
671,0.785503
672,0.923743
673,0.244189
674,0.973200
675,0.985481
676,0.985623
677,0.947609
678,0.992733
679,0.991927
680,0.991217
681,0.364942
682,0.939635
683,0.995054
684,0.994519
685,0.988458
686,0.983026
687,0.984499
688,0.991068
689,0.991507
690,0.995876
691,0.996628
692,0.985714
693,0.833715
694,0.990421
695,0.994198
696,0.356526
697,0.998586
698,0.995797
699,0.991784
700,0.994750
701,0.929010
702,0.992472
703,0.990910
704,0.893156
705,0.680747
706,0.919417
707,0.740808
708,0.996475
709,0.977415
710,0.991696
711,0.410787
712,0.949442
713,0.995288
714,0.995523
715,0.989814
716,0.904481
717,0.996845
718,0.968383
719,0.893578
