id,Action
1,0.505051
2,0.885459
3,0.977939
4,0.968903
5,0.994141
6,0.974162
7,0.741684
8,0.999008
9,0.498444
10,0.869789
11,0.873223
12,0.860001
13,0.930325
14,0.243355
15,0.681782
16,0.720747
17,0.224740
18,0.192827
19,0.985691
20,0.956334
21,0.989991
22,0.937347
23,0.840169
24,0.902062
25,0.966633
26,0.683319
27,0.949416
28,0.776565
29,0.913335
30,0.584364
31,0.953344
32,0.923490
33,0.951722
34,0.964814
35,0.947167
36,0.897194
37,0.925401
38,0.996961
39,0.933145
40,0.777034
41,0.786810
42,0.935472
43,0.924724
44,0.913664
45,0.969274
46,0.874072
47,0.993660
48,0.889797
49,0.999382
50,0.984596
51,0.871347
52,0.961840
53,0.938501
54,0.987165
55,0.886014
56,0.931795
57,0.892434
58,0.994554
59,0.960161
60,0.941172
61,0.977024
62,0.979983
63,0.903627
64,0.981144
65,0.984852
66,0.944264
67,0.925718
68,0.993208
69,0.883666
70,0.201180
71,0.900521
72,0.933507
73,0.978106
74,0.984915
75,0.928576
76,0.991570
77,0.982607
78,0.758074
79,0.268655
80,0.987913
81,0.996725
82,0.969482
83,0.728186
84,0.958873
85,0.900766
86,0.599729
87,0.885288
88,0.986575
89,0.967791
90,0.459012
91,0.913092
92,0.272077
93,0.980607
94,0.907631
95,0.931681
96,0.989036
97,0.061531
98,0.984615
99,0.948065
100,0.986539
101,0.847514
102,0.023755
103,0.962536
104,0.928042
105,0.226075
106,0.974547
107,0.987447
108,0.852256
109,0.949591
110,0.886831
111,0.376477
112,0.846451
113,0.853658
114,0.989000
115,0.863952
116,0.850427
117,0.916107
118,0.746876
119,0.991862
120,0.939928
121,0.775899
122,0.914774
123,0.333968
124,0.984088
125,0.948564
126,0.495470
127,0.119059
128,0.547661
129,0.517259
130,0.964414
131,0.974853
132,0.986247
133,0.950974
134,0.327510
135,0.992630
136,0.760654
137,0.980233
138,0.766710
139,0.762896
140,0.993748
141,0.977020
142,0.830442
143,0.963125
144,0.965941
145,0.992391
146,0.210583
147,0.232453
148,0.434288
149,0.992391
150,0.924398
151,0.985675
152,0.517819
153,0.959014
154,0.708466
155,0.852608
156,0.807592
157,0.926770
158,0.940395
159,0.807814
160,0.809727
161,0.652552
162,0.972884
163,0.990693
164,0.850489
165,0.923096
166,0.998111
167,0.778385
168,0.944695
169,0.907132
170,0.973980
171,0.967471
172,0.930813
173,0.693551
174,0.964494
175,0.955635
176,0.994389
177,0.525919
178,0.953399
179,0.993478
180,0.376753
181,0.149437
182,0.930830
183,0.798748
184,0.577754
185,0.930000
186,0.722152
187,0.986710
188,0.918751
189,0.156212
190,0.941450
191,0.997095
192,0.959401
193,0.981768
194,0.964338
195,0.788268
196,0.982646
197,0.922813
198,0.748378
199,0.959981
200,0.387042
201,0.950804
202,0.937791
203,0.799729
204,0.918909
205,0.995666
206,0.934895
207,0.969479
208,0.914578
209,0.193260
210,0.271790
211,0.663569
212,0.958127
213,0.990199
214,0.841924
215,0.939414
216,0.544099
217,0.612994
218,0.972338
219,0.979444
220,0.721949
221,0.110104
222,0.995173
223,0.997221
224,0.939705
225,0.765049
226,0.293581
227,0.757972
228,0.932757
229,0.992921
230,0.957437
231,0.887043
232,0.758220
233,0.726016
234,0.038169
235,0.553890
236,0.808880
237,0.787009
238,0.875059
239,0.555158
240,0.988667
241,0.879237
242,0.310981
243,0.134320
244,0.955302
245,0.915464
246,0.990238
247,0.877045
248,0.889497
249,0.913500
250,0.981812
251,0.957824
252,0.819118
253,0.991076
254,0.993893
255,0.994507
256,0.788741
257,0.904606
258,0.508564
259,0.802868
260,0.990438
261,0.937251
262,0.802703
263,0.970706
264,0.982303
265,0.984425
266,0.932673
267,0.888788
268,0.982545
269,0.903588
270,0.972385
271,0.950939
272,0.837885
273,0.931185
274,0.140093
275,0.984255
276,0.612122
277,0.972790
278,0.990749
279,0.942772
280,0.715931
281,0.997810
282,0.988975
283,0.762831
284,0.652339
285,0.974840
286,0.916544
287,0.995471
288,0.980027
289,0.956267
290,0.970805
291,0.206740
292,0.423318
293,0.926341
294,0.915090
295,0.941568
296,0.119235
297,0.073209
298,0.869618
299,0.325517
300,0.952678
301,0.363187
302,0.978933
303,0.170707
304,0.531368
305,0.950868
306,0.940686
307,0.874465
308,0.994660
309,0.561681
310,0.860127
311,0.990491
312,0.965952
313,0.941941
314,0.990707
315,0.995254
316,0.970283
317,0.710180
318,0.978870
319,0.268494
320,0.989120
321,0.973535
322,0.095630
323,0.997598
324,0.939464
325,0.726478
326,0.639558
327,0.934901
328,0.989437
329,0.971703
330,0.962388
331,0.966148
332,0.823316
333,0.956320
334,0.567811
335,0.952854
336,0.848927
337,0.942818
338,0.951381
339,0.912100
340,0.964718
341,0.984763
342,0.948838
343,0.891000
344,0.994639
345,0.986951
346,0.982715
347,0.853804
348,0.874386
349,0.976372
350,0.598816
351,0.753251
352,0.996277
353,0.899032
354,0.436020
355,0.806587
356,0.961821
357,0.952192
358,0.970630
359,0.857742
360,0.246536
361,0.799681
362,0.860982
363,0.844946
364,0.512653
365,0.994664
366,0.994072
367,0.939885
368,0.991212
369,0.880050
370,0.974233
371,0.856731
372,0.973440
373,0.295747
374,0.077512
375,0.675288
376,0.925912
377,0.103108
378,0.944965
