id,Action
1,0.946214
2,0.998910
3,0.999308
4,0.998325
5,0.999742
6,0.998989
7,0.998094
8,0.999774
9,0.873873
10,0.997922
11,0.994788
12,0.998578
13,0.997729
14,0.995793
15,0.966151
16,0.964559
17,0.936006
18,0.995455
19,0.999079
20,0.999307
21,0.999971
22,0.999866
23,0.997751
24,0.998507
25,0.999172
26,0.967500
27,0.996568
28,0.996797
29,0.998617
30,0.993057
31,0.999366
32,0.997675
33,0.998528
34,0.999322
35,0.999537
36,0.998354
37,0.998187
38,0.999608
39,0.996576
40,0.992024
41,0.995816
42,0.998679
43,0.998689
44,0.999612
45,0.998744
46,0.999400
47,0.999359
48,0.997992
49,0.999897
50,0.997481
51,0.999370
52,0.999578
53,0.998994
54,0.998959
55,0.996674
56,0.999098
57,0.996520
58,0.999736
59,0.998269
60,0.997608
61,0.999401
62,0.999240
63,0.997111
64,0.999462
65,0.999648
66,0.998759
67,0.996321
68,0.999342
69,0.993998
70,0.739794
71,0.997968
72,0.998693
73,0.998996
74,0.999778
75,0.998277
76,0.999024
77,0.999250
78,0.994873
79,0.454036
80,0.999809
81,0.998900
82,0.999556
83,0.997591
84,0.999511
85,0.999343
86,0.998883
87,0.997745
88,0.999273
89,0.999368
90,0.934474
91,0.996546
92,0.955487
93,0.999325
94,0.999354
95,0.999381
96,0.998628
97,0.159263
98,0.998161
99,0.998701
100,0.999572
101,0.996154
102,0.946572
103,0.998169
104,0.998235
105,0.172479
106,0.999282
107,0.999381
108,0.997980
109,0.998486
110,0.998577
111,0.950461
112,0.999099
113,0.994837
114,0.998914
115,0.998849
116,0.998299
117,0.999156
118,0.998683
119,0.999799
120,0.998285
121,0.962850
122,0.998336
123,0.996501
124,0.999194
125,0.999144
126,0.987414
127,0.988827
128,0.982878
129,0.992547
130,0.998975
131,0.999664
132,0.999492
133,0.998006
134,0.966814
135,0.999345
136,0.996560
137,0.999671
138,0.997738
139,0.969216
140,0.999299
141,0.999718
142,0.993588
143,0.999519
144,0.999156
145,0.999452
146,0.967983
147,0.968414
148,0.991419
149,0.999698
150,0.998620
151,0.998835
152,0.883148
153,0.999175
154,0.994145
155,0.998508
156,0.987516
157,0.998096
158,0.998114
159,0.726393
160,0.997401
161,0.980940
162,0.998531
163,0.999298
164,0.996921
165,0.999240
166,0.999399
167,0.984966
168,0.999062
169,0.998023
170,0.999432
171,0.998940
172,0.997264
173,0.988104
174,0.998762
175,0.998810
176,0.998829
177,0.981693
178,0.999100
179,0.999979
180,0.994149
181,0.906502
182,0.998502
183,0.883978
184,0.990821
185,0.998810
186,0.998426
187,0.999025
188,0.990104
189,0.461815
190,0.999155
191,0.999803
192,0.998232
193,0.999608
194,0.998883
195,0.996189
196,0.999850
197,0.998487
198,0.996598
199,0.998908
200,0.597220
201,0.996916
202,0.996357
203,0.997813
204,0.995538
205,0.998229
206,0.995532
207,0.999738
208,0.998132
209,0.873877
210,0.692649
211,0.992929
212,0.998229
213,0.999240
214,0.997542
215,0.999230
216,0.923867
217,0.997930
218,0.999097
219,0.999235
220,0.999235
221,0.739341
222,0.999816
223,0.997965
224,0.996496
225,0.998891
226,0.856469
227,0.986307
228,0.999492
229,0.999695
230,0.999033
231,0.995969
232,0.985824
233,0.995731
234,0.086482
235,0.995358
236,0.990842
237,0.999286
238,0.998717
239,0.939518
240,0.999565
241,0.997968
242,0.575002
243,0.259577
244,0.998193
245,0.999174
246,0.999978
247,0.996901
248,0.998251
249,0.999341
250,0.999168
251,0.999211
252,0.949223
253,0.999129
254,0.999179
255,0.999470
256,0.997600
257,0.998199
258,0.991428
259,0.997937
260,0.999643
261,0.998088
262,0.995826
263,0.998142
264,0.999438
265,0.999360
266,0.997955
267,0.999388
268,0.999099
269,0.999279
270,0.999280
271,0.998679
272,0.995188
273,0.999519
274,0.509882
275,0.999261
276,0.969873
277,0.999511
278,0.999485
279,0.997005
280,0.996510
281,0.999865
282,0.999641
283,0.991113
284,0.997125
285,0.999124
286,0.987589
287,0.999725
288,0.998785
289,0.998741
290,0.999478
291,0.945789
292,0.974633
293,0.998922
294,0.994904
295,0.997310
296,0.047880
297,0.394692
298,0.985276
299,0.995239
300,0.999361
301,0.926831
302,0.999069
303,0.960885
304,0.997792
305,0.998518
306,0.998581
307,0.998365
308,0.999790
309,0.998335
310,0.998616
311,0.999387
312,0.998975
313,0.999425
314,0.999033
315,0.999358
316,0.998606
317,0.962818
318,0.999401
319,0.992549
320,0.999929
321,0.999131
322,0.082653
323,0.999740
324,0.999460
325,0.994423
326,0.875590
327,0.999761
328,0.999892
329,0.999069
330,0.999462
331,0.999212
332,0.999643
333,0.999733
334,0.993794
335,0.999327
336,0.996718
337,0.998623
338,0.989179
339,0.999154
340,0.997222
341,0.999375
342,0.998882
343,0.993776
344,0.999561
345,0.999817
346,0.998440
347,0.997457
348,0.997517
349,0.999759
350,0.869915
351,0.995208
352,0.999942
353,0.998737
354,0.834704
355,0.998664
356,0.999416
357,0.995751
358,0.998298
359,0.999011
360,0.245299
361,0.996992
362,0.995539
363,0.994137
364,0.984036
365,0.999684
366,0.999427
367,0.997944
368,0.999475
369,0.996666
370,0.999541
371,0.998765
372,0.997641
373,0.953170
374,0.125255
375,0.994226
376,0.999153
377,0.526039
378,0.997777
379,0.999420
380,0.786217
381,0.916255
382,0.998147
383,0.999922
384,0.992923
385,0.995666
386,0.998751
387,0.861505
388,0.995736
389,0.999140
390,0.998945
391,0.987463
392,0.999744
393,0.992710
394,0.999286
395,0.996943
396,0.997369
397,0.999638
398,0.998205
399,0.999529
400,0.998895
401,0.998753
402,0.998845
403,0.998003
404,0.989261
405,0.999646
406,0.997594
407,0.995665
408,0.999174
409,0.998112
410,0.999572
411,0.999832
412,0.958078
413,0.983111
414,0.999517
415,0.998794
416,0.993672
417,0.998359
418,0.997184
419,0.992633
420,0.998902
421,0.999327
422,0.998660
423,0.993449
424,0.983645
425,0.998919
426,0.999357
427,0.998836
428,0.999182
429,0.996280
430,0.999493
431,0.998158
432,0.997764
433,0.996689
434,0.996554
435,0.995499
436,0.999733
437,0.997189
438,0.095681
439,0.996610
440,0.330710
441,0.998153
442,0.999868
443,0.999655
444,0.999126
445,0.985463
446,0.999813
447,0.981059
448,0.999515
449,0.998830
450,0.998724
451,0.991701
452,0.998675
453,0.999126
454,0.991052
455,0.996968
456,0.999165
457,0.999604
458,0.998627
459,0.999222
460,0.828211
461,0.930174
462,0.999443
463,0.997904
464,0.998160
465,0.998580
466,0.999817
467,0.191318
468,0.996214
469,0.998464
470,0.998394
471,0.999321
472,0.999263
473,0.999546
474,0.998475
475,0.998411
476,0.998132
477,0.999083
478,0.999815
479,0.998929
480,0.999021
481,0.998923
482,0.995492
483,0.999674
484,0.998792
485,0.998624
486,0.991760
487,0.994843
488,0.996599
489,0.998465
490,0.997854
491,0.998727
492,0.997977
493,0.992891
494,0.998633
495,0.996494
496,0.999393
497,0.998491
498,0.999751
499,0.999324
500,0.998277
501,0.996775
502,0.959950
503,0.992683
504,0.999072
505,0.994358
506,0.999663
507,0.998849
508,0.996979
509,0.997706
510,0.077767
511,0.993283
512,0.999073
513,0.998768
514,0.995848
515,0.998783
516,0.999368
517,0.999314
518,0.963068
519,0.997615
520,0.811431
521,0.999330
522,0.987311
523,0.998836
524,0.072861
525,0.895430
526,0.440635
527,0.998182
528,0.998631
529,0.997790
530,0.999636
531,0.993453
532,0.997208
533,0.998389
534,0.999153
535,0.999318
536,0.999033
537,0.999936
538,0.998637
539,0.997204
540,0.929180
541,0.998989
542,0.998449
543,0.946340
544,0.997083
545,0.996509
546,0.999750
547,0.432501
548,0.994601
549,0.938396
550,0.997094
551,0.997346
552,0.987306
553,0.998184
554,0.992438
555,0.999072
556,0.998556
557,0.997562
558,0.996989
559,0.995402
560,0.998463
561,0.997057
562,0.999058
563,0.999591
564,0.848165
565,0.999445
566,0.995340
567,0.996357
568,0.988363
569,0.998541
570,0.997704
571,0.630816
572,0.996428
573,0.985253
574,0.817906
575,0.999764
576,0.999092
577,0.998887
578,0.997792
579,0.954132
580,0.996920
581,0.999258
582,0.999039
583,0.999514
584,0.995099
585,0.999743
586,0.989092
587,0.998229
588,0.998387
589,0.998820
590,0.994064
591,0.993357
592,0.999250
593,0.991948
594,0.999001
595,0.999518
596,0.998428
597,0.998493
598,0.992765
599,0.995030
600,0.990615
601,0.997918
602,0.993390
603,0.999813
604,0.998325
605,0.999338
606,0.996907
607,0.997462
608,0.997996
609,0.997933
610,0.993804
611,0.999598
612,0.996089
613,0.999133
614,0.690240
615,0.999742
616,0.339233
617,0.997443
618,0.995507
619,0.998555
620,0.996816
621,0.998895
622,0.996786
623,0.998803
624,0.866649
625,0.998349
626,0.999682
627,0.999036
628,0.998338
629,0.999545
630,0.999468
631,0.999168
632,0.995325
633,0.999260
634,0.999695
635,0.991588
636,0.999694
637,0.997602
638,0.998677
639,0.988726
640,0.999434
641,0.999207
642,0.993759
643,0.996205
644,0.999084
645,0.999495
646,0.978429
647,0.997796
648,0.992557
649,0.999257
650,0.995194
651,0.996772
652,0.999309
653,0.207846
654,0.995646
655,0.943584
656,0.999231
657,0.998200
658,0.998902
659,0.999274
660,0.999193
661,0.999419
662,0.997867
663,0.997948
664,0.997750
665,0.989113
666,0.754186
667,0.978719
668,0.998409
669,0.993264
670,0.943022
671,0.970932
672,0.986163
673,0.630517
674,0.996654
675,0.995973
676,0.997981
677,0.991338
678,0.999011
679,0.998784
680,0.998272
681,0.758939
682,0.985916
683,0.999765
684,0.999061
685,0.997816
686,0.997024
687,0.997932
688,0.998724
689,0.998782
690,0.999309
691,0.999473
692,0.997620
693,0.971024
694,0.998736
695,0.999081
696,0.788248
697,0.999933
698,0.999166
699,0.998104
700,0.999336
701,0.990875
702,0.999179
703,0.998727
704,0.981003
705,0.921716
706,0.976738
707,0.953237
708,0.999634
709,0.997207
710,0.998739
711,0.764020
712,0.994687
713,0.999198
714,0.999277
715,0.998644
716,0.990909
717,0.999886
718,0.994352
719,0.982720
720,0.995826
721,0.992084
722,0.999404
723,0.997967
724,0.996726
725,0.998820
726,0.978398
727,0.999093
728,0.999737
729,0.938209
730,0.993400
731,0.996706
732,0.999771
733,0.999125
734,0.999848
735,0.997366
736,0.739915
737,0.997990
738,0.998287
739,0.999143
740,0.999519
741,0.999427
742,0.999460
743,0.998125
744,0.998835
745,0.998805
746,0.999776
747,0.999027
748,0.999220
749,0.999161
750,0.999756
751,0.997709
752,0.997785
753,0.996344
754,0.998559
755,0.998144
756,0.993304
757,0.999657
758,0.999214
759,0.996316
760,0.997526
761,0.995751
762,0.998068
763,0.977367
764,0.984577
765,0.998841
766,0.998985
767,0.995946
768,0.997990
769,0.999055
770,0.999288
771,0.999823
772,0.995760
