id,Action
1,0.653882
2,0.978339
3,0.987184
4,0.983926
5,0.989766
6,0.979828
7,0.971910
8,0.995578
9,0.671044
10,0.981632
11,0.980676
12,0.983794
13,0.990987
14,0.957079
15,0.924266
16,0.920322
17,0.890756
18,0.970566
19,0.987799
20,0.986382
21,0.999997
22,0.989213
23,0.980315
24,0.980567
25,0.987003
26,0.945136
27,0.979046
28,0.979263
29,0.985344
30,0.956716
31,0.989594
32,0.983152
33,0.986171
34,0.988884
35,0.992117
36,0.983397
37,0.983092
38,0.995123
39,0.981226
40,0.971553
41,0.983292
42,0.986704
43,0.985068
44,0.989473
45,0.985634
46,0.985032
47,0.986288
48,0.986630
49,0.996611
50,0.978810
51,0.957939
52,0.988842
53,0.980785
54,0.984314
55,0.979248
56,0.993235
57,0.977481
58,0.990458
59,0.984603
60,0.981159
61,0.981635
62,0.999988
63,0.983725
64,0.986772
65,0.996218
66,0.986229
67,0.976019
68,0.988312
69,0.912840
70,0.701564
71,0.981487
72,0.981036
73,0.987943
74,0.990909
75,0.982108
76,0.986367
77,0.987913
78,0.978778
79,0.428716
80,0.996258
81,0.987774
82,0.991072
83,0.979130
84,0.984737
85,0.985939
86,0.984573
87,0.980380
88,0.989682
89,0.986954
90,0.845857
91,0.977257
92,0.932555
93,0.987541
94,0.992170
95,0.990370
96,0.988301
97,0.120492
98,0.991553
99,0.985172
100,0.993763
101,0.978720
102,0.576860
103,0.981664
104,0.980174
105,0.429098
106,0.983059
107,0.989978
108,0.984334
109,0.981793
110,0.988359
111,0.722484
112,0.979982
113,0.984220
114,0.987690
115,0.979987
116,0.978683
117,0.983132
118,0.980761
119,0.989392
120,0.980485
121,0.923227
122,0.979481
123,0.978838
124,0.982338
125,0.984885
126,0.969991
127,0.949572
128,0.969215
129,0.969327
130,0.986048
131,0.990512
132,0.989195
133,0.984605
134,0.891993
135,0.987934
136,0.979594
137,0.991363
138,0.977329
139,0.952430
140,0.989154
141,0.999981
142,0.951907
143,0.989941
144,0.988818
145,0.989257
146,0.947984
147,0.949712
148,0.944624
149,0.992294
150,0.982775
151,0.982105
152,0.748797
153,0.988595
154,0.977888
155,0.992645
156,0.973047
157,0.985597
158,0.984082
159,0.714582
160,0.978275
161,0.864968
162,0.978938
163,0.988704
164,0.979702
165,0.993169
166,0.987226
167,0.968760
168,0.991631
169,0.976534
170,0.988211
171,0.980054
172,0.976053
173,0.974638
174,0.982191
175,0.987057
176,0.984287
177,0.928767
178,0.989066
179,0.999997
180,0.976285
181,0.510089
182,0.982525
183,0.881046
184,0.925583
185,0.981667
186,0.965399
187,0.987672
188,0.980583
189,0.383506
190,0.988006
191,0.991408
192,0.983995
193,0.991795
194,0.988483
195,0.978090
196,0.993839
197,0.984997
198,0.982977
199,0.982900
200,0.530406
201,0.980722
202,0.979732
203,0.982246
204,0.980458
205,0.989349
206,0.979713
207,0.993455
208,0.982728
209,0.637651
210,0.506405
211,0.958418
212,0.990378
213,0.985180
214,0.979636
215,0.992908
216,0.845299
217,0.983726
218,0.985447
219,0.983849
220,0.985334
221,0.500000
222,0.993194
223,0.987377
224,0.981451
225,0.987461
226,0.568375
227,0.969952
228,0.995485
229,0.987844
230,0.983594
231,0.975930
232,0.927033
233,0.966356
234,0.250417
235,0.971111
236,0.974126
237,0.991226
238,0.986560
239,0.909798
240,0.992020
241,0.954886
242,0.665846
243,0.316647
244,0.983827
245,0.987406
246,0.999994
247,0.979429
248,0.982532
249,0.988757
250,0.992361
251,0.987323
252,0.923623
253,0.987673
254,0.986910
255,0.988062
256,0.986199
257,0.984801
258,0.975553
259,0.984405
260,0.990153
261,0.983858
262,0.967047
263,0.981300
264,0.983494
265,0.992364
266,0.983868
267,0.990320
268,0.984118
269,0.988977
270,0.993004
271,0.984155
272,0.975865
273,0.991665
274,0.382581
275,0.986066
276,0.779019
277,0.989271
278,0.988487
279,0.983206
280,0.977890
281,0.992709
282,0.991288
283,0.948505
284,0.979179
285,0.987974
286,0.965983
287,0.994525
288,0.983541
289,0.993808
290,0.989719
291,0.751507
292,0.920093
293,0.982927
294,0.971884
295,0.981162
296,0.281043
297,0.271034
298,0.973914
299,0.866201
300,0.986743
301,0.894932
302,0.984893
303,0.947363
304,0.969871
305,0.988175
306,0.993736
307,0.984514
308,0.995213
309,0.989473
310,0.985562
311,0.993423
312,0.992639
313,0.987879
314,0.991267
315,0.987119
316,0.984363
317,0.921460
318,0.990759
319,0.977175
320,0.999994
321,0.984869
322,0.255480
323,0.991368
324,0.988442
325,0.970527
326,0.928508
327,0.995250
328,0.999985
329,0.989932
330,0.993611
331,0.988002
332,0.985386
333,0.993761
334,0.979153
335,0.989554
336,0.979518
337,0.981002
